Country,Year,population,Country_ID,latitude,longitude,GDP,TotalGDP
Italy,2020,59438851,IT,41.87194,12.56738,1905956000000.0,30602465000000.0
Jamaica,2020,2830739,JM,18.10958,-77.29751,13885000000.0,256804000000.0
Japan,2020,126261000,JP,36.20482,138.25292,5054069000000.0,60365542000000.0
Jordan,2020,10865228,JO,30.58516,36.23841,43762000000.0,718597000000.0
Kenya,2020,52217334,KE,-0.02356,37.90619,100912000000.0,1591969000000.0
Kuwait,2020,4400267,KW,29.31166,47.48177,111048000000.0,2045067000000.0
Lebanon,2020,5702398,LB,33.85472,35.86229,24976000000.0,227221000000.0
Liberia,2020,5149463,LR,6.42806,-9.4295,3037000000.0,62652000000.0
Libya,2020,7045399,LY,26.3351,17.22833,46893000000.0,666655000000.0
Luxembourg,2020,630419,LU,49.81527,6.12958,73612000000.0,1206161000000.0
Malawi,2020,19533888,MW,-13.25431,34.30153,11847000000.0,178493000000.0
Malaysia,2020,33889558,MY,4.21048,101.97577,337456000000.0,5785875000000.0
Maldives,2020,502118,MV,3.20278,73.22068,3706000000.0,93180000000.0
Mali,2020,21713836,ML,17.57069,-3.99617,17491000000.0,300793000000.0
Malta,2020,515490,MT,35.9375,14.37542,16397000000.0,315252000000.0
Mauritius,2020,1266014,MU,-20.3484,57.55215,11408000000.0,203318000000.0
Mongolia,2020,3327204,MN,46.8625,103.84666,13313000000.0,304365000000.0
Montenegro,2020,626590,ME,42.70868,19.37439,4777000000.0,102738000000.0
Morocco,2020,36584208,MA,31.7917,-7.09262,121354000000.0,2115935000000.0
Myanmar,2020,53016522,MM,21.91397,95.95622,65631000000.0,926613000000.0
Nepal,2020,28966574,NP,28.39486,84.12401,33434000000.0,610305000000.0
New Zealand,2020,5090200,NZ,-40.90056,174.88597,210541000000.0,3297361000000.0
Niger,2020,23717613,NE,17.60779,8.08167,13764000000.0,270733000000.0
Nigeria,2020,213996181,NG,9.082,8.67528,432299000000.0,4188443000000.0
Norway,2020,5379475,NO,60.47202,8.46895,367633000000.0,6565710000000.0
Oman,2020,4522497,OM,21.51258,55.92326,75909000000.0,1369552000000.0
Pakistan,2020,235001746,PK,30.37532,69.34512,300410000000.0,2411807000000.0
Panama,2020,4293261,PA,8.53798,-80.78213,57087000000.0,1149853000000.0
Paraguay,2020,6603739,PY,-23.4425,-58.44383,35432000000.0,596614000000.0
Peru,2020,32838579,PE,-9.18997,-75.01515,206461000000.0,3743448000000.0
Philippines,2020,112081264,PH,12.87972,121.77402,361751000000.0,6496060000000.0
Portugal,2020,10297081,PT,39.39987,-8.22445,229435000000.0,3952501000000.0
Qatar,2020,2794148,QA,25.35483,51.18388,144411000000.0,2909267000000.0
Romania,2020,19265250,RO,45.94316,24.96676,252372000000.0,4831843000000.0
Saudi Arabia,2020,31552510,SA,23.88594,45.07916,734271000000.0,13866012000000.0
Senegal,2020,16789219,SN,14.4974,-14.45236,24534000000.0,436120000000.0
Seychelles,2020,98462,SC,-4.67957,55.49198,1384000000.0,27628000000.0
Sierra Leone,2020,7912558,SL,8.46056,-11.77989,6682000000.0,104391000000.0
Singapore,2020,5685807,SG,1.35208,103.81984,349166000000.0,6868048000000.0
Somalia,2020,16651191,SO,5.15215,46.19962,8628000000.0,165414000000.0
South Africa,2020,60562381,ZA,-30.55948,22.93751,337876000000.0,5432048000000.0
Spain,2020,47359424,ES,40.46367,-3.74922,1288751000000.0,22380822000000.0
Sri Lanka,2020,21919000,LK,7.87305,80.7718,84304000000.0,613683000000.0
Sudan,2020,46789231,SD,12.86281,30.21764,35237000000.0,496079000000.0
Sweden,2020,10353442,SE,60.12816,18.6435,545148000000.0,8187067000000.0
Switzerland,2020,8638167,CH,46.81819,8.22751,741288000000.0,11981294000000.0
Thailand,2020,71641484,TH,15.87003,100.99254,500462000000.0,7122497000000.0
Togo,2020,8669720,TG,8.61954,0.82478,7400000000.0,129364000000.0
Tunisia,2020,11974057,TN,33.88692,9.5375,42494000000.0,676775000000.0
Uganda,2020,44457152,UG,1.37333,32.29028,37889000000.0,808885000000.0
Ukraine,2020,44680014,UA,48.37943,31.16558,156566000000.0,2633063000000.0
United Arab Emirates,2020,9401038,AE,23.42408,53.84782,349473000000.0,6990436000000.0
United Kingdom,2020,66744000,GB,55.37805,-3.43597,2698705000000.0,47946865000000.0
United States,2020,331577720,US,37.09024,-95.71289,21354125000000.0,372518938000000.0
Uruguay,2020,3398968,UY,-32.52278,-55.76584,53557000000.0,1030856000000.0
